"female","black","hispanic","bytest","dadcoll","momcoll","ownhome","urban","cue80","stwmfg80","dist","tuition","incomehi","ed"
0,0,0,39.1500015258789,1,0,1,1,6.19999980926514,8.09000015258789,0.200000002980232,0.889150023460388,1,12
1,0,0,48.8699989318848,0,0,1,1,6.19999980926514,8.09000015258789,0.200000002980232,0.889150023460388,0,12
0,0,0,48.7400016784668,0,0,1,1,6.19999980926514,8.09000015258789,0.200000002980232,0.889150023460388,0,12
0,1,0,40.4000015258789,0,0,1,1,6.19999980926514,8.09000015258789,0.200000002980232,0.889150023460388,0,12
1,0,0,40.4799995422363,0,0,0,1,5.59999990463257,8.09000015258789,0.400000005960464,0.889150023460388,0,13
0,0,0,54.7099990844727,0,0,1,1,5.59999990463257,8.09000015258789,0.400000005960464,0.889150023460388,0,12
1,0,0,56.0699996948242,0,0,1,0,7.19999980926514,8.85000038146973,0.400000005960464,0.84987998008728,0,13
1,0,0,54.8499984741211,0,0,1,0,7.19999980926514,8.85000038146973,0.400000005960464,0.84987998008728,0,15
0,0,0,64.7399978637695,1,0,1,1,5.90000009536743,8.09000015258789,3,0.889150023460388,0,13
1,0,0,56.060001373291,0,0,1,1,5.90000009536743,8.09000015258789,3,0.889150023460388,0,15
1,0,0,42.2200012207031,0,0,1,1,5.90000009536743,8.09000015258789,3,0.889150023460388,1,12
1,1,0,61.1800003051758,0,1,1,1,5.90000009536743,8.09000015258789,3,0.889150023460388,1,14
0,0,0,59.8499984741211,0,0,1,0,7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,0,15
1,0,0,58.7700004577637,1,0,1,0,7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,1,17
1,1,0,53.7200012207031,1,1,1,0,7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,0,14
0,0,0,61.5200004577637,0,0,1,0,7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,0,15
1,0,0,52.5299987792969,0,0,1,0,7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,1,12
1,0,0,45.0099983215332,0,0,1,0,7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,0,12
1,0,0,57.7099990844727,0,0,1,0,7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,0,16
1,0,0,59.3600006103516,1,1,1,0,7.19999980926514,8.85000038146973,0.100000001490116,0.84987998008728,1,16
1,0,0,50.9300003051758,0,0,1,0,7.69999980926514,7.03999996185303,0.5,0.902999997138977,0,13
0,0,0,59.560001373291,1,0,1,0,7.69999980926514,7.03999996185303,0.5,0.902999997138977,1,14
0,0,0,58.4599990844727,1,1,1,0,7.69999980926514,7.03999996185303,0.5,0.902999997138977,0,13
1,0,0,55.7000007629395,0,0,0,0,7.69999980926514,7.03999996185303,0.5,0.902999997138977,0,16
0,0,0,60.810001373291,0,0,1,0,7.69999980926514,7.03999996185303,0.5,0.902999997138977,0,15
1,1,0,40.5999984741211,0,0,1,0,5.40000009536743,8.85000038146973,0.899999976158142,0.84987998008728,0,12
1,0,0,49.9900016784668,0,0,1,0,5.40000009536743,8.85000038146973,0.899999976158142,0.84987998008728,0,12
0,0,0,59.689998626709,0,0,1,1,5.09999990463257,8.85000038146973,0.5,0.84987998008728,0,15
0,0,0,60.3300018310547,0,0,1,1,5.09999990463257,8.85000038146973,0.5,0.84987998008728,0,16
1,0,0,60.1399993896484,1,0,1,1,5.09999990463257,8.85000038146973,0.5,0.84987998008728,1,12
1,0,0,68.5800018310547,1,1,1,1,5.09999990463257,8.85000038146973,0.5,0.84987998008728,1,16
1,0,0,42.6100006103516,0,0,1,1,5.09999990463257,8.85000038146973,0.5,0.84987998008728,0,12
0,0,0,58.6599998474121,1,0,1,1,5.09999990463257,8.85000038146973,0.5,0.84987998008728,1,16
0,0,0,58.1399993896484,0,0,1,1,5.09999990463257,8.85000038146973,0.5,0.84987998008728,0,14
1,0,0,58.9500007629395,0,0,1,1,5.09999990463257,8.85000038146973,0.5,0.84987998008728,0,16
0,0,0,49.3699989318848,0,0,1,1,5.40000009536743,8.85000038146973,0.200000002980232,0.84987998008728,0,17
1,0,0,47.25,0,1,0,1,5.40000009536743,8.85000038146973,0.200000002980232,0.84987998008728,0,16
0,0,0,61.0299987792969,1,0,0,0,6.19999980926514,8.09000015258789,0.600000023841858,0.889150023460388,1,14
0,0,0,54.3499984741211,0,0,0,0,6.19999980926514,8.09000015258789,0.600000023841858,0.889150023460388,1,15
1,0,0,68.120002746582,1,1,1,0,6.19999980926514,8.09000015258789,0.600000023841858,0.889150023460388,1,15
0,0,0,70.0999984741211,1,0,1,0,6.19999980926514,8.09000015258789,0.600000023841858,0.889150023460388,1,17
1,0,0,58.6100006103516,0,0,0,0,6.19999980926514,8.09000015258789,0.600000023841858,0.889150023460388,0,15
1,0,0,48.5699996948242,0,0,1,0,6.19999980926514,8.09000015258789,0.600000023841858,0.889150023460388,0,12
1,0,0,51.1100006103516,0,0,1,0,6.19999980926514,8.09000015258789,0.600000023841858,0.889150023460388,0,12
1,0,0,39.4099998474121,0,0,1,0,6.19999980926514,8.09000015258789,0.600000023841858,0.889150023460388,0,15
1,0,0,54.9799995422363,1,0,1,0,7.19999980926514,7.03999996185303,0.100000001490116,0.902999997138977,1,16
1,1,0,41.5900001525879,1,1,0,0,7.19999980926514,7.03999996185303,0.100000001490116,0.902999997138977,0,12
1,0,0,55.3199996948242,0,0,1,0,7.19999980926514,7.03999996185303,0.100000001490116,0.902999997138977,0,13
0,0,1,42.2299995422363,0,0,1,0,7.19999980926514,7.03999996185303,0.100000001490116,0.902999997138977,0,12
1,0,0,62,0,0,1,0,7.19999980926514,7.03999996185303,0.100000001490116,0.902999997138977,0,16
